int	string	string	string	string
1111	累计提升1次电影关注度	电影上映期间我们仍然可以通过提高大家对电影的关注度来获取更大的收益~	电影上映之后的持续推广也是很重要的，千万不要忘记啦！	累计提升1次电影关注度
1112	在环球影城放置代言人并完成宣传	进一步扩大我们的影响力吧！	每个街区都有不同的对代言人的偏好，利用好这一点，宣传就能事半功倍哦~	在环球影城放置代言人并完成宣传
1113	在盖蒂中心完成宣传	进一步扩大我们的影响力吧！	让我们的影响力进一步扩大吧！	在盖蒂中心完成宣传
1114	顺利进行1次路演	公开路演将会检验这座城市对我们公司的认可度，如果成功则意味着我们在这里有了深厚的粉丝基础！	总有一天我们会成为世界知名的大电影公司！	顺利进行1次路演
1115	占领洛杉矶的市场	让我们的影响力覆盖整座城市，给我们带来更多的收益！	占领的城市将会源源不断的给公司增加新的粉丝与收益~	占领洛杉矶的市场
1116	在洛杉矶任命1位形象大使	在已占领城市任命公司的形象大使可以为公司带来更高的收益，但是每个城市的不同位置对形象大使也有着不同的要求哦！	任命形象大使后占领城市所带来的收益也更高了~	在洛杉矶任命1位形象大使
1117	为1部电影选择重点宣传城市	选择某个城市对上映中的电影进行重点宣传也可以提高电影的持续收益哦~	随着宣传力度加强，在这座城市所取得的持续收益也会提升哦~	为1部电影选择重点宣传城市
1118	累计提升2次电影关注度	随着电影关注度的提高，我们能获得的收益也会相应增加哦~	电影关注度越高，能得到的收益也会越好哦~	累计提升2次电影关注度
1119	将2位艺人升到5级	让我们继续挖掘艺人们的潜力吧！	艺人能力越强，拍出高质量影片的可能就越高！所以可别忘了不断提升艺人实力哦~	将2位艺人升到5级
1120	拍摄第2部电影	每部电影都是我们通往成功的基石，也是新的粉丝与点赞的重要来源，一定要好好重视哦~	不断提升公司实力，拍出更多的佳片吧！	拍摄第2部电影
1121	建造宣传部	接下来让我们建造我们自己的宣传部吧！	宣传部建造完成啦~这样我们就能更好的为电影造势宣传了哦。	建造宣传部
1122	成功进行第2次路演	公开路演将会检验这座城市对我们公司的认可度，如果成功则意味着我们在这里有了深厚的粉丝基础！	总有一天我们会成为世界知名的大电影公司！	成功进行第2次路演
1123	占领纽约的市场	让我们的影响力覆盖整座城市，给我们带来更多的收益！	占领的城市将会源源不断的给公司增加新的粉丝与收益~	占领纽约的市场
1124	在纽约任命1位形象大使	在已占领城市任命公司的形象大使可以为公司带来更高的收益，但是每个城市的不同位置对形象大使也有着不同的要求哦！	任命形象大使后占领城市所带来的收益也更高了~	在纽约任命1位形象大使
1125	累计提升3次电影关注度	随着电影关注度的提高，我们能获得的收益也会相应增加哦~	电影关注度越高，能得到的收益也会越好哦~	累计提升3次电影关注度
1126	同时任命2位形象大使	在已占领城市任命公司的形象大使可以为公司带来更高的收益，但是每个城市的不同位置对形象大使也有着不同的要求哦！	任命形象大使后占领城市所带来的收益也更高了~	同时任命2位形象大使
1127	累计领取电影持续收益超过500美元	电影持续收益来自在不同地区上映、电影周边以及相关活动授权等多个方面。	电影上映地区、电影周边贩售以及合作活动都能带来收益，所以要记得定期去收取喔~	累计领取电影持续收益超过500美元
1128	领取1次城市经营收益	让我们看看占领的城市给我们带来了多少收益吧~	占领的城市将会源源不断的给公司增加新的粉丝与收益~要记得定期去收取哦！	领取1次城市经营收益
1129	将1位艺人升到10级	提升艺人实力最直接的方式就是提升他们的等级了哦~	艺人能力越强，拍出高质量影片的可能就越高！所以可别忘了不断提升艺人实力哦~	将1位艺人升到10级
1130	在华盛顿的国会山完成宣传	进一步扩大我们的影响力吧！	让我们的影响力进一步扩大吧！	在华盛顿的国会山完成宣传
1131	建造仓库	接下来让我们建造我们自己的仓库吧！	仓库建造完成啦~我们可以在仓库里存放很多电影相关的道具了哦。	建造仓库
1132	进行生产	我们可以通过生产上映电影的相关周边产品来赚取更多收入喔！	通过生产周边，我们可以为公司带来额外的收益哦，可别忽视这一点了~	进行生产
1133	建造销售部	接下来让我们建造我们自己的销售部吧！	销售部建造完成~我们现在可以开始接受外部订单了哦！	建造销售部
1134	升级摄影棚	升级摄影棚可以给我们的影片质量带来更多的提升哦~	摄影棚的等级提升也就意味着影片质量的进一步提升喔。	升级摄影棚
1135	建造商务部	接下来让我们建造我们自己的商务部吧！	商务部建造完成~这样整个公司的商业运营就可以更加高效啦！	建造商务部
1136	拍摄第3部电影	每部电影都是我们通往成功的基石，也是新的粉丝与点赞的重要来源，一定要好好重视哦~	不断提升公司实力，拍出更多的佳片吧！	拍摄第3部电影
1137	完成订单	成功交付订单可以提升我们公司在业界的影响力，收获粉丝与点赞，况且订单本身也能带来可观的收入。	订单对公司的发展有着很大的帮助哦，一定要记得定期去及时处理~	完成订单
1138	占领华盛顿的市场	让我们的影响力覆盖整座城市，给我们带来更多的收益！	占领的城市将会源源不断的给公司增加新的粉丝与收益~	占领华盛顿的市场
1139	同时任命3位形象大使	在已占领城市任命公司的形象大使可以为公司带来更高的收益，但是每个城市的不同位置对形象大使也有着不同的要求哦！	任命形象大使后占领城市所带来的收益也更高了~	同时任命3位形象大使
1140	将1位艺人升到20级	提升艺人实力最直接的方式就是提升他们的等级了哦~	艺人能力越强，拍出高质量影片的可能就越高！所以可别忘了不断提升艺人实力哦~	将1位艺人升到20级
1141	占领芝加哥的市场	让我们的影响力覆盖整座城市，给我们带来更多的收益！	占领的城市将会源源不断的给公司增加新的粉丝与收益~	占领芝加哥的市场
1142	建造办公室	接下来让我们建造我们自己的办公室吧！	办公室建造完成~这样我们也可以更好的处理各类公务了呢。	建造办公室
1143	处理3次公务	经营公司可离不开日常的公务处理，好好加油吧~	书面工作也是经营一家公司不可缺少的一环哦，加油吧~	处理3次公务
1144	累计领取电影持续收益超过5000美元	电影持续收益来自在不同地区上映、电影周边以及相关活动授权等多个方面。	电影上映地区、电影周边贩售以及合作活动都能带来收益，所以要记得定期去收取喔~	累计领取电影持续收益超过5000美元
1145	领取2次城市经营收益	让我们看看占领的城市给我们带来了多少收益吧~	占领的城市将会源源不断的给公司增加新的粉丝与收益~要记得定期去收取哦！	领取2次城市经营收益
1146	累计完成2次生产	我们可以通过生产上映电影的相关周边产品来赚取更多收入喔！	通过生产周边，我们可以为公司带来额外的收益哦，可别忽视这一点了~	累计完成2次生产
1147	建造接待室	接下来让我们建造我们自己的接待室吧！	接待室建造完成~现在我们可以接待来公司参观的粉丝了哦，这样也有助于进一步巩固我们的粉丝基础呢！	建造接待室
1148	接待1位粉丝	会来公司探班的肯定都是我们的铁杆粉丝，如果冷落了他们可不好哦~	会来公司探班的肯定都是我们的铁杆粉丝，可别冷落了他们哦！	接待1位粉丝
